map_generating,生成地图中，请稍等……
loading,加载中……
next_step,下回合
pause,暂停
military,军事
finance,金融
politics,政治
inventions,科技
enterprises,企业
trade,贸易
ok,确定
fine,好的
not_fine,"好吧"
close,关闭
close_window,关闭窗口
none,无
nothing,无
sell,出售
buy,购买
show_all,展示所有
hide_all,隐藏所有
army_select/select_one,"选择 1 支军队 - "
army_select/select_more,"选择 {ArmiesCount} 支军队 ("
army_select/send,行军
army_select/send_choice,选择省份
army_select/merge,合并
army_select/split,拆分
army_select/demobilize,解散
battle/player_won_title,"我们赢得了胜利!"
battle/player_lost_title,"我们输掉了战斗!"
battle/player_attack_won,"我们光荣的军队在{1}以{2}人的兵力袭击了{0}的军队。修饰词: {3}.

而敌军有{4}人。修饰词：{5}: {5}

我方获胜，敌方损失全部人员，我方损失{6}人。
现在{7}省是我们的了！"
battle/player_defend_won,"我们光荣的军队在{0}省遭到{1}的邪恶军队共{2}人的攻击。修饰词: {3}

而我们有{4}人。修饰词: {5}

我方获胜，敌方全军覆没，我方损失{6}人。"
battle/player_attack_loss,"我们光荣的军队在{1}以{2}人的兵力进攻{0}的军队： {3}

而敌人有{4}人。修饰词 {5}

我们输了，我们的远征军被摧毁，而敌人损失了{6}人。"
battle/player_defend_loss_1,"我们光荣的军队在 {0} 省被邪恶的 {1} 以 {2} 人的军队突袭。修饰词: {3}

而我们有{4}人。修饰词: {5}

我们输了，我方军队被彻底击溃，而敌方损失了 {6} 人。"
battle/player_defend_loss_2,"
我们失去了{0}省！"
battle/player_defend_loss_3,"
我们不得不退向 {0}"
bottom_panel/statistics,统计
bottom_panel/wiki,百科
bottom_panel/credits,致谢
bottom_panel/exit,退出
bottom_panel/political_map,政治地图
bottom_panel/culture_map,文化地图
bottom_panel/core_map,核心地图
bottom_panel/resource_map,资源地图
bottom_panel/population_changes,人口变化
bottom_panel/population_density,人口密度
bottom_panel/prosperity,繁荣
build_panel/title,建立新企业
build_panel/no_build_now,目前无建设项目
build_panel/select_province,选择建设省份
build_panel/select_building,选择建筑
build_panel/select_left_building,从左侧选择建筑
build_panel/name,名称
build_panel/cost,成本
build_panel/output,产出
build_panel/potential_margin,潜在利润率
common/type,类型
common/province,省份
common/population,人口
common/culture,文化
common/education,教育
common/cash,现金
common/needs_fulfilled,需求满足
common/loyalty,忠诚
common/seeks_job,求职中
common/movement,运动
common/resources,资源
common/production,生产
common/workforce,雇员
common/profit,利润
common/profitability,盈利能力
common/salary,薪资
common/build,建设
diplomacy_panel/gdp_thousand,"

GDP/每千人: {0}; 等级: {1}"
diplomacy_panel/human_need,"

人均满足需求: {0}, 忠诚: {1}, 教育: {2}

改革: {3}; "
diplomacy_panel/culture,"

国家文化: {0}
文化: {1}
类别/等级?: {2}"
enterprises_panel/title,企业名录
enterprises_panel/country_scope,国家范围
enterprises_panel/entire_world,世界范围
enterprises_panel/private_owned,私人拥有
enterprises_panel/unsubsidized,无补贴
enterprises_panel/uninvestable,不可投资
factory_panel/title,企业信息
factory_panel/nationalize,国有化
factory_panel/upgrade,升级
factory_panel/reopen,重新开放
factory_panel/close,关闭企业
factory_panel/destroy,摧毁
factory_panel/subsidize,补贴
factory_panel/no_hire_subsidies,不雇用补贴人员
factory_panel/workforce,"劳动力：{0}，平均教育程度：{1}
生产: {2}"
factory_panel/cash,"
现金: "
factory_panel/input_required,"

所需输入: "
factory_panel/input_required_no,"

无需输入 "
factory_panel/upgrade,"
升级需要: "
factory_panel/construct,"
施工天数: "
factory_panel/stockpile_no,"
储存: 无"
factory_panel/bought,"
已购买: "
factory_panel/cost,", 成本: "
factory_panel/salary,"

工资 (每 1000 人): "
factory_panel/unprofitable,"
亏损天数: "
factory_panel/general,"
资产价值：{0}，市场价值：{1}
盈利能力（红利/市值）：{2}
销售总额：{3}"
factory_panel/efficiency,"效率："
factory_panel/ownership,"大股东：{0} {1}（鼠标悬停查看其余部分）"
factory_panel/profit,"利润："
factory_panel/priority,"优先权"
factory_panel/nationalize_tip,"
这会让股东们生气，并降低您的声誉"
factory_panel/priority_tip,"

优先级最高的企业首先获得劳动力"
goods_panel/title,价格历史
inventions_panel/title,科研面板
inventions_panel/invention,发明
inventions_panel/status,状态
inventions_panel/science_points,科学点数
inventions_panel/already_invented,已经研发
inventions_panel/invented,已研发
inventions_panel/uninvented,未研发
inventions_panel/not_enough_point,科学点数不足以研发
inventions_panel/invent,研发
inventions_panel/points,科学点数：
inventions_panel/select_left_invention,"

从左侧选择发明"
inventions_panel/select_left,从左侧选择
inventions/farming,农业
inventions/farming_tips,允许农业和农民
inventions/banking,银行业
inventions/banking_tips,"允许国家银行、信贷和存款。还允许废除农奴制，并对贵族给予补偿"
inventions/manufactures,制造业
inventions/manufactures_tips,允许建筑制造业加工原材料产品
inventions/flying_shuttle,约翰·凯伊的飞梭
inventions/flying_shuttle_tips,允许建立织布厂
inventions/mining,采矿
inventions/mining_tips,允许从地洞中采集资源，增强其 50% 的效率
inventions/metal,冶金
inventions/metal_tips,允许金属矿石和冶炼。允许冷兵器。
inventions/classical_liberalism,古典自由主义
inventions/classical_liberalism_tips,允许自由放任政策、资产阶级专政、推行普遍民主。
inventions/keynesianism,凯恩斯主义
inventions/keynesianism_tips,允许对经济进行有限干预
inventions/collectivism,集体主义
inventions/collectivism_tips,允许无产阶级专政、计划经济
inventions/steam_power,蒸汽动力
inventions/steam_power_tips,允许使用机械和水泥，将所有企业的效率提高 25%
inventions/welfare,福利
inventions/welfare_tips,允许失业救济和全民补贴
inventions/gunpowder,火药
inventions/gunpowder_tips,允许炮兵使用火炮
inventions/hand_cannons,便携火器
inventions/hand_cannons_tips,允许使用火器，在战斗中非常有效
inventions/combustion_engine,内燃机
inventions/combustion_engine_tips,允许使用石油、燃料、汽车、橡胶，将所有企业的效率提高 25%
inventions/tanks,坦克
inventions/tanks_tips,允许使用坦克
inventions/airplanes,飞机
inventions/airplanes_tips,允许使用飞机
inventions/professional_army,职业军队
inventions/professional_army_tips,允许士兵
inventions/domestication,畜牧业
inventions/domestication_tips,允许在畜栏中养牛。还允许在军队中使用马匹
inventions/electronics,电子化
inventions/electronics_tips,允许使用电子产品
inventions/tobacco,烟草
inventions/tobacco_tips,允许种植烟草
inventions/coal,煤炭
inventions/coal_tips,允许煤炭
inventions/universities,大学
inventions/universities_tips,允许建立大学
map_options/title,地图设置
map_options/random_map,随机地图
map_options/map_from_file,从文件生成地图 (实验性)
map_options/industrial_start,工业开局
map_options/industrial_tips,为每个国家增加工厂、技术和更多劳动力，以加快资本市场的形成。
